# MBQI instance census — 209 rows, guard 90 s, adsmtc `bb02d18ca68b`
# (oxiz 85b2018 = 5cbff16 + OXIZ_MBQI_ROUND_DBG), 2026-08-17, idle machine.
#
# The calibration behind `SolverConfig::mbqi_instance_budget`. `max_inst`
# is the largest accumulated instance count any MBQI episode of that row
# reached; a row that never enters the MBQI loop reports 0.
#
#   class              rows   MBQI-using   max instances
#   verified            174           81           1,554  (seq-vstd-1/ob08)
#   unknown-or-bail      35           35          74,199  (datatypes-match-2/ob05)
#
# No currently-verified row reaches 2,000. That is what makes a budget
# there provably non-regressing rather than hopefully so.
row	verdict	rc	wall_ms	rounds	max_inst	max_terms
fuel-recursion-3/ob09	unsat	0	19	0	0	0
fuel-recursion-3/ob10	unsat	0	1483	4	88	724679
fuel-recursion-3/ob11	unsat	0	19	0	0	0
fuel-recursion-3/ob12	unsat	0	1915	5	46	784157
fuel-recursion-3/ob13	unsat	0	19	0	0	0
fuel-recursion-3/ob14	unsat	0	3242	5	104	899301
fuel-recursion-3/ob15	unsat	0	19	0	0	0
fuel-recursion-3/ob16	unsat	0	29130	12	1221	1232148
fuel-recursion-3/ob17	unsat	0	18	0	0	0
fuel-recursion-3/ob18	unsat	0	10	0	0	0
linear-euf-1/ob01	unsat	0	10	0	0	0
linear-euf-1/ob02	unsat	0	473	1	11	481832
linear-euf-1/ob03	unsat	0	503	1	8	465353
linear-euf-1/ob04	unsat	0	18	0	0	0
linear-euf-1/ob05	unsat	0	869	1	8	578585
linear-euf-1/ob06	unsat	0	18	0	0	0
linear-euf-1/ob07	unsat	0	11	0	0	0
linear-euf-2/ob01	unknown	0	4075	9	115	529550
linear-euf-2/ob02	unsat	0	18	0	0	0
linear-euf-2/ob03	unknown	0	25280	12	1095	1069017
linear-euf-2/ob04	unknown	0	26994	10	1222	1021069
linear-euf-2/ob05	unknown	0	4041	8	151	632819
linear-euf-2/ob06	unsat	0	18	0	0	0
linear-euf-2/ob07	unsat	0	908	2	16	625047
linear-euf-2/ob08	unknown	0	6803	9	382	840984
linear-euf-2/ob09	unsat	0	18	0	0	0
linear-euf-2/ob10	unsat	0	10	0	0	0
linear-euf-3/ob01	unsat	0	901	2	23	622508
linear-euf-3/ob02	unsat	0	35	0	0	0
linear-euf-3/ob03	unsat	0	788	2	9	496436
linear-euf-3/ob04	unsat	0	11	0	0	0
linear-euf-3/ob05	unsat	0	737	2	7	464796
linear-euf-3/ob06	unsat	0	482	1	10	480051
linear-euf-3/ob07	unsat	0	58	0	0	0
linear-euf-3/ob08	unsat	0	11	0	0	0
nonlinear-1/ob01	unsat	0	10	0	0	0
nonlinear-2/ob01	unsat	0	11	0	0	0
nonlinear-2/ob02	unsat	0	10	0	0	0
nonlinear-2/ob03	unsat	0	10	0	0	0
nonlinear-2/ob04	unsat	0	10	0	0	0
nonlinear-2/ob05	unsat	0	11	0	0	0
nonlinear-2/ob06	unsat	0	10	0	0	0
nonlinear-2/ob07	unsat	0	486	1	9	501972
nonlinear-2/ob08	unsat	0	17	0	0	0
nonlinear-2/ob09	unsat	0	10	0	0	0
nonlinear-3/ob01	unsat	0	332	1	13	396016
nonlinear-3/ob02	unsat	0	453	1	19	469776
nonlinear-3/ob03	unsat	0	19	0	0	0
nonlinear-3/ob04	unsat	0	886	2	14	624421
nonlinear-3/ob05	unsat	0	11	0	0	0
nonlinear-3/ob06	unsat	0	10	0	0	0
seq-vstd-1/ob01	unsat	0	1115	2	36	827894
seq-vstd-1/ob02	unsat	0	1549	3	33	812069
seq-vstd-1/ob03	unknown	0	45203	15	806	2492438
seq-vstd-1/ob04	unsat	0	631	1	27	558517
seq-vstd-1/ob05	unsat	0	1516	2	40	1024362
seq-vstd-1/ob06	unsat	0	11882	10	657	2576828
seq-vstd-1/ob07	unsat	0	594	1	22	594284
seq-vstd-1/ob08	unsat	0	15449	7	1554	2045219
seq-vstd-1/ob09	unsat	0	4579	5	677	1632257
seq-vstd-1/ob10	unsat	0	20	0	0	0
seq-vstd-2/ob01	unknown	0	10212	9	538	1503137
seq-vstd-2/ob02	unsat	0	2596	3	55	1432221
seq-vstd-2/ob03	-	0	90129	12	5218	3431666
seq-vstd-2/ob04	unsat	0	2812	3	62	1678206
seq-vstd-2/ob05	-	0	90165	14	3895	4377835
seq-vstd-2/ob06	unsat	0	1717	2	34	1053937
seq-vstd-2/ob07	unsat	0	13478	7	954	2348499
seq-vstd-2/ob08	unsat	0	765	1	31	698851
seq-vstd-2/ob09	unsat	0	2264	3	52	1303641
seq-vstd-2/ob10	unsat	0	1630	2	37	1080144
seq-vstd-2/ob11	unsat	0	21	0	0	0
seq-vstd-3/ob01	unknown	0	1673	3	76	416842
seq-vstd-3/ob02	unsat	0	20	0	0	0
seq-vstd-3/ob03	-	0	90100	12	4011	3564803
seq-vstd-3/ob04	unsat	0	1379	2	40	981160
seq-vstd-3/ob05	unsat	0	38184	10	1025	1853229
seq-vstd-3/ob06	unsat	0	8534	6	565	1411580
seq-vstd-3/ob07	-	0	90098	10	1743	2471352
seq-vstd-3/ob08	unsat	0	16257	5	779	1570300
seq-vstd-3/ob09	unsat	0	1809	2	54	1249083
seq-vstd-3/ob10	unsat	0	12	0	0	0
seq-vstd-3/ob11	unsat	0	13	0	0	0
abduct-boolean/ob01	unknown	0	1503	3	58	375216
abduct-boolean/ob02	unsat	0	11	0	0	0
abduct-eq-vars/ob01	unknown	0	1681	3	60	385564
abduct-eq-vars/ob02	unsat	0	10	0	0	0
abduct-eq-zero/ob01	unknown	0	1700	3	58	367762
abduct-eq-zero/ob02	unsat	0	10	0	0	0
abduct-negativity/ob01	unknown	0	1754	3	60	406134
abduct-negativity/ob02	unsat	0	15	0	0	0
abduct-pred/ob01	unknown	0	3265	5	110	541887
abduct-pred/ob02	unsat	0	10	0	0	0
abduct-relational/ob01	unknown	0	1692	3	60	393840
abduct-relational/ob02	unsat	0	9	0	0	0
abduct-sign/ob01	unknown	0	1849	3	60	406187
abduct-sign/ob02	unsat	0	12	0	0	0
abduct-spec-len/ob01	unknown	0	3015	8	73	450725
abduct-spec-len/ob02	unsat	0	11	0	0	0
error-disequality/ob01	unknown	0	1755	3	58	367214
error-disequality/ob02	unsat	0	10	0	0	0
noabduct-false/ob01	unknown	0	1580	3	58	375441
noabduct-false/ob02	unsat	0	10	0	0	0
verify-arith/ob01	unsat	0	355	1	5	410153
diff/ob01	unsat	0	845	3	9	405027
diff/ob02	unsat	0	537	2	8	395429
diff/ob03	unsat	0	18	0	0	0
